                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.56754,                0.47042,                 1.0444,                0.85148,                0.82688,                0.87907,                0.72444,                0.64348,                0.88595,                 1.1388,              0.0012083,              0.0012083,              0.0012083
                     81,                0.57697,                 0.4507,                 1.0238,                 0.8951,                0.91667,                0.90219,                0.75136,                0.65368,                 0.7398,                 1.1552,              0.0012055,              0.0012055,              0.0012055
                     82,                 0.5769,                0.43379,                 1.0141,                0.86091,                0.85656,                0.88368,                0.74571,                0.53124,                0.75108,                 1.0173,              0.0012026,              0.0012026,              0.0012026
                     83,                0.57518,                0.47304,                 1.0336,                0.83413,                0.85655,                 0.8657,                 0.7377,                0.50739,                0.73552,                0.99685,              0.0011998,              0.0011998,              0.0011998
                     84,                0.58209,                0.48076,                 1.0093,                0.66098,                0.84375,                0.71318,                0.61636,                0.60189,                0.97959,                 1.0762,               0.001197,               0.001197,               0.001197
                     85,                0.58167,                0.45259,                  1.023,                0.67562,                0.80984,                0.70724,                0.60361,                  0.639,                 0.9102,                 1.1146,              0.0011942,              0.0011942,              0.0011942
                     86,                0.57301,                0.45714,                 1.0152,                0.72265,                0.78667,                  0.733,                0.61944,                0.61636,                0.90619,                   1.08,              0.0011913,              0.0011913,              0.0011913
                     87,                0.54741,                0.44063,                 1.0024,                0.63594,                0.81435,                0.73297,                0.61444,                0.62161,                 1.2945,                 1.0829,              0.0011885,              0.0011885,              0.0011885
                     88,                0.55585,                0.42953,                  1.013,                0.86417,                0.95433,                0.90335,                0.79087,                 0.5003,                0.47196,                0.98982,              0.0011857,              0.0011857,              0.0011857
                     89,                0.56358,                0.43887,                 1.0152,                0.97463,                0.95833,                0.95546,                0.82408,                0.53453,                 0.3252,                 1.0326,              0.0011828,              0.0011828,              0.0011828
                     90,                0.60783,                0.46214,                 1.0423,                0.97075,                0.95833,                 0.9554,                0.82898,                0.51207,                0.33232,                 1.0066,                0.00118,                0.00118,                0.00118
                     91,                0.56863,                0.42951,                 1.0397,                0.94134,                0.95694,                0.95532,                0.82606,                0.55115,                 0.3841,                 1.0289,              0.0011772,              0.0011772,              0.0011772
                     92,                0.54697,                0.43125,                 0.9902,                0.93931,                0.95178,                0.95554,                0.82346,                0.50907,                0.38635,                 1.0087,              0.0011744,              0.0011744,              0.0011744
                     93,                0.58644,                0.42855,                 1.0135,                0.91702,                 0.8473,                0.93325,                0.81959,                0.47317,                0.45965,                 0.9909,              0.0011715,              0.0011715,              0.0011715
                     94,                 0.5614,                0.41707,                0.98329,                0.89173,                0.92005,                0.91721,                0.80042,                0.53765,                 0.4891,                 1.0253,              0.0011687,              0.0011687,              0.0011687
                     95,                0.55304,                0.40795,                 1.0098,                0.87554,                0.93864,                0.92922,                0.81796,                0.54622,                 0.4649,                 1.0335,              0.0011659,              0.0011659,              0.0011659
                     96,                0.56202,                0.40821,                0.99033,                0.82858,                0.91443,                0.87404,                 0.7551,                0.59429,                0.54766,                 1.1001,               0.001163,               0.001163,               0.001163
                     97,                0.54746,                0.40764,                0.97984,                0.69617,                0.83674,                0.73441,                 0.6361,                0.59548,                0.88037,                 1.1148,              0.0011602,              0.0011602,              0.0011602
                     98,                0.55002,                0.41291,                0.99672,                 0.6944,                0.98304,                0.85538,                0.75169,                0.55308,                0.50131,                  1.064,              0.0011574,              0.0011574,              0.0011574
                     99,                0.55486,                0.42216,                 1.0065,                0.75831,                0.95629,                0.86338,                0.73665,                0.64495,                0.51223,                 1.1403,              0.0011545,              0.0011545,              0.0011545
                    100,                0.54141,                0.38389,                0.98819,                0.93709,                0.93395,                0.96656,                0.82083,                0.55657,                 0.4024,                 1.0501,              0.0011517,              0.0011517,              0.0011517
                    101,                0.57736,                0.43409,                 1.0283,                0.94832,                 0.9854,                0.97648,                0.85243,                0.46744,                0.30512,                0.97741,              0.0011489,              0.0011489,              0.0011489
                    102,                0.55029,                0.40036,                 1.0191,                0.95189,                      1,                0.99056,                0.86345,                0.49004,                0.26974,                 0.9879,              0.0011461,              0.0011461,              0.0011461
                    103,                0.52927,                0.40248,                0.98851,                0.96823,                0.99736,                  0.995,                0.85605,                 0.5331,                0.29256,                 1.0288,              0.0011432,              0.0011432,              0.0011432
                    104,                0.57506,                0.41699,                 1.0099,                0.96238,                0.91667,                0.96276,                0.81861,                0.54405,                0.35139,                 1.0327,              0.0011404,              0.0011404,              0.0011404
